臺灣地區航空站列表
機場正式名稱	俗名	IATA碼	ICAO碼	所在區域	跑道長度/數量	城市	性質	登記地址
臺北國際航空站	臺北松山機場	TSA	RCSS	北部	跑道:2605m/1	臺北市	甲等	臺北市松山區敦化北路340-9號
臺灣桃園國際機場	桃園機場	TPE	RCTP	北部	跑道:3800m/1、3660m/1	桃園市	特等	桃園市大園區航站南路9號
臺中航空站	臺中清泉崗機場	RMQ	RCMQ	中部	跑道:3650m/1	臺中市	乙等	臺中市沙鹿區中航路一段168號
高雄國際航空站	高雄小港機場	KHH	RCKH	南部	跑道:3150m/1	高雄市	甲等	高雄市小港區中山四路2號
臺南航空站	臺南機場	TNN	RCNN	南部	跑道:3050m/1	臺南市	丁等	臺南市南區機場路775號
嘉義航空站	嘉義水上機場	CYI	RCKU	南部	跑道:3050m/1	嘉義市	丁等	嘉義縣水上鄉榮典路1號
恆春航空站	恆春五里亭機場	HCN	RCKW	南部	跑道:1700m/1	恆春鎮	丁等	屏東縣恆春鎮省北路二段393號
花蓮航空站	花蓮機場	HUN	RCYU	東部	跑道:2750m/1	花蓮市	丁等	花蓮縣新城鄉嘉里村機場1號
臺東航空站	臺東豐年機場	TTT	RCFN	東部	跑道:2438m/1	臺東市	丁等	臺東縣臺東市民航路1100號
蘭嶼航空站	蘭嶼機場	KYD	RCLY	東部	跑道:1174m/1	蘭嶼鄉	丁等	臺東縣蘭嶼鄉紅頭村漁人151號
綠島航空站	綠島機場	GNI	RCGI	東部	跑道:992m/1	綠島鄉	丁等	臺東縣綠島鄉南寮村231號
馬公航空站	澎湖馬公機場	MZG	RCQC	離島	跑道:3000m/1	馬公市	乙等	澎湖縣湖西鄉隘門村126-1號
七美航空站	七美機場	CMJ	RCCM	離島	跑道:845m/1	七美鄉	丁等	澎湖縣七美鄉平和村55號
望安航空站	望安機場	WOT	RCWA	離島	跑道:930m/1	望安鄉	丁等	澎湖縣望安鄉中社村156號
金門航空站	金門尚義機場	KNH	RCBS	離島	跑道:3007m/1	金城鎮	乙等	金門縣金湖鎮機場2號
北竿航空站	北竿機場	MFK	RCMT	離島	跑道:1150m/1	北竿鄉	丁等	連江縣北竿鄉塘岐村261-2號
南竿航空站	南竿機場	LZN	RCFG	離島	跑道:1579m/1	南竿鄉	丁等	連江縣南竿鄉復興村220號
